age_group,1,2,3,4,5,6,7,8,9,10,11,12,13,14
20-24,26.21005481614108,9.882289964120957,13.760689677085255,6.163425630053952,14.337640127149701,13.282000706899227,1.9384205340201668,2.149011345309863,1.420243943068123,3.942308313278173,2.039997609839948,2.702939558869508,1.1308067873828203,1.0401709867812332
25-29,23.77511928758212,11.03835430812029,13.77351633439634,5.609274932983718,14.655360369893186,12.108708653655272,1.5362897544614542,2.5839291052771345,3.8744391070785746,2.6550564777340813,2.53044169684476,3.0164031706355976,1.2677928929783888,1.5753139083590846
30-34,27.60021976835563,12.27749058576276,12.178446013997524,8.58365876105478,11.134463608288707,6.495684095963044,3.643412440748718,3.6077171864858504,2.2900460408161676,2.9548627564965617,2.45266772667104,3.3947212558425206,1.4671144411498644,1.919495318366849
35-39,21.828640116162973,14.941394576904871,11.820117019558088,8.924128531638681,10.2680947407492,5.106274586551484,3.4590441652776236,8.043604265518267,4.468981006106652,3.918596674423648,2.6558858284173303,1.530639867871111,1.4875232373770708,1.5470753834430193
40-44,23.592446917719553,16.987098601951693,11.816801786723193,7.876553625466029,6.915217605052043,4.1200798393359435,3.2221728342874116,5.078071258589,2.704092389512305,3.9758754005062715,3.7145161950542396,6.961838776626352,1.3451999711800742,1.690034797995901
45-49,21.971863468143233,19.290311107398168,10.118385530805863,9.433049199077333,6.005508794569734,3.382073602347181,3.6175413229212463,5.548788878961767,8.439324029191173,5.308667071588747,2.8196397259805868,0.8961456753145457,1.2669661980709177,1.9017353956294998
50-54,25.65100188218071,22.01828170217327,8.990490656193769,9.127954155621811,3.181275881464231,3.0219763894902796,5.37115995320749,4.34076125536651,3.8837318940825525,4.276953358242356,3.837602423839536,3.477412363923895,1.1089174114759262,1.7124806727376332
55-59,23.369723827559667,24.867259924074396,6.519051379906067,12.376982175589282,6.552608153017774,2.178440032754856,3.0387888375761567,4.711374557963588,5.422789573885661,3.5041919223011533,2.7937204830774496,2.0742555059863412,1.2987015298676365,1.2921120964399753
60-64,24.631411028797746,28.30362230888155,9.688335345601889,12.537217984054857,5.205355401757956,1.2949523052667122,2.018388388163361,0.9114545066758186,3.5242928733116914,3.2531186666962237,4.75966812182324,1.8721073481868011,0.8069107520358103,1.1931649687463384
65-74,22.08546939443721,24.57542520505031,7.512483640146214,13.565903492106182,1.6294637831419279,2.417006726098319,5.894156028741366,6.384688797615105,1.8793942249190794,4.030998996819051,4.251523862674229,3.809590710182023,0.9716387911461147,0.9922563469228688
75+,13.179321125996696,25.30086207938252,5.417257338154183,9.775135807773777,1.4226296884137222,1.4979358232368776,23.430225294781966,1.3785871567710506,8.998125323406063,3.060429762760335,5.385474186881078,0.21130920677598225,0.3703122443841582,0.5723949612816052
